StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CTQ_1,CTQ_3,CTQ_10,Q4_6,PPB_12,PPB_13,PPB_15,PPB_16,PPB_17,UID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Answer the following questions about Artificial Intelligence (AI) on the scale below. - I am highly interested in AI technologies such as Chatgpt,Answer the following questions about Artificial Intelligence (AI) on the scale below. - I like using AI to ease my work,Answer the following questions about Artificial Intelligence (AI) on the scale below. - I am open to adopting AI in my everyday life,How frequently do you use AI?,"Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Writing a poem","Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Shooting a fun video to air on YouTube","Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Learning how to play a musical instrument","Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Doodling/Drawing random or geometric designs","Compared to people of approximately your age and life experience, how creative would you rate yourself for each of the following acts? For acts that you have not specifically done, estimate your creative potential based on your performance on similar tasks. - Acting in a play",Please enter your FULL UID below (This will be utilized for participation purposes)
9/23/2023 14:05,9/23/2023 14:07,IP Address,72.83.36.247,100,116,True,9/23/2023 14:07,R_yW3VYfyaijAfY6R,,,,,39.0013,-76.888,anonymous,EN,0,,,,,,,,,
9/23/2023 14:09,9/23/2023 14:09,IP Address,72.83.36.247,100,24,True,9/23/2023 14:09,R_1OTZBLcYKvWP7ya,,,,,39.0013,-76.888,anonymous,EN,0,,,0,,,,,,
9/23/2023 14:13,9/23/2023 14:13,IP Address,72.83.36.247,100,14,True,9/23/2023 14:13,R_2YagMQlZSjAuDKE,,,,,39.0013,-76.888,anonymous,EN,,,,,,,,,,
9/23/2023 15:06,9/23/2023 15:07,IP Address,173.66.240.52,100,96,True,9/23/2023 15:07,R_1PXmuPXVgv9yW76,,,,,38.9489,-76.9352,anonymous,EN,65,60,70,50,25,40,60,85,30,117862942
9/23/2023 15:49,9/23/2023 15:50,IP Address,129.2.192.230,100,98,True,9/23/2023 15:50,R_2ci1w8UI2gER2y2,,,,,38.9965,-76.934,anonymous,EN,20,10,20,100,20,30,50,40,10,117824933
9/23/2023 15:52,9/23/2023 15:52,IP Address,96.231.239.162,100,33,True,9/23/2023 15:52,R_2cnPEsdNKm4yKXk,,,,,38.894,-77.0365,anonymous,EN,,,,,50,,,100,75,117895698
9/23/2023 15:57,9/23/2023 15:58,IP Address,68.84.70.61,100,40,True,9/23/2023 15:58,R_3MSipoQcBZd27Hj,,,,,39.6732,-75.7121,anonymous,EN,77,100,78,1,100,100,100,100,100,117716320
9/23/2023 16:04,9/23/2023 16:04,IP Address,52.124.40.65,100,23,True,9/23/2023 16:04,R_ZrA8bHZI4Vd1pPr,,,,,38.9965,-76.934,anonymous,EN,76,54,50,51,19,32,35,54,48,117780666
9/23/2023 16:05,9/23/2023 16:06,IP Address,73.128.24.14,100,46,True,9/23/2023 16:06,R_1gTPejfJXqCoPLz,,,,,38.9751,-76.8048,anonymous,EN,50,76,50,25,100,60,60,60,10,118897226
